28-12-2021 13:46:53 - INFO  com.netflix.discovery.DiscoveryClient : DiscoveryClient_MOBILEGAMESRESTCLIENT/host.docker.internal:mobilegamesrestclient:9091: registering service...
28-12-2021 13:46:53 - INFO  com.netflix.discovery.DiscoveryClient : DiscoveryClient_MOBILEGAMESRESTCLIENT/host.docker.internal:mobilegamesrestclient:9091 - registration status: 204
28-12-2021 13:46:54 - INFO  org.apache.catalina.core.StandardService : Stopping service [Tomcat]
28-12-2021 13:46:54 - INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
28-12-2021 13:46:54 - INFO  org.hibernate.tool.schema.internal.SchemaDropperImpl$DelayedDropActionImpl : HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
28-12-2021 13:46:54 - INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
28-12-2021 13:46:54 - INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
28-12-2021 13:46:54 - INFO  com.netflix.discovery.DiscoveryClient : Shutting down DiscoveryClient ...
28-12-2021 13:46:57 - INFO  com.netflix.discovery.DiscoveryClient : Unregistering ...
28-12-2021 13:46:57 - INFO  com.netflix.discovery.DiscoveryClient : DiscoveryClient_MOBILEGAMESRESTCLIENT/host.docker.internal:mobilegamesrestclient:9091 - deregister  status: 200
28-12-2021 13:46:57 - INFO  com.netflix.discovery.DiscoveryClient : Completed shut down of DiscoveryClient
